title,genres,description,keywords,release_date,duration,content_rating,director,star_1,star_2,star_3,countries,languages,rating,metascore,votes,user_reviews,critic_reviews,watchlist_count,gross,budget,opening_weekend,movie_url,category
Oficina do Diabo,Drama,"An ambitious young demon is instructed by an older, more experienced devil on the art and science of condemning a soul to Hell. Dilemmas and hard lessons about the human heart and the fate of a human soul hangs in the balance.","supernatural drama,psychological drama",2025-01-12,124,,Filipe Valerim,Roberto Mallet,Felipe de Barros,Sergio Barreto,Brazil,Portuguese,7.9,,35126,132,,7.4K,,,,https://www.imdb.com/title/tt28459771/,New Movies
Mica è colpa mia,Comedy|Romance,"Drowning in debt, two brothers concoct a plan to scam a wealthy heiress and save their home in Naples - but unexpected love soon complicates the scheme.","naples italy,postman,man wears glasses,scam,being followed",2025-01-01,101,,Umberto Riccioni Carteni,Antonio Folletto,Laura Adriani,Vincenzo Nemolato,Italy,Italian,6.1,,1745,9,17,1.1K,,,,https://www.imdb.com/title/tt34896285/,New Movies
Meghalu Cheppina Prema Katha,Musical|Romance,"Varun&apos;s musical journey intersects with Meghana&apos;s tech world, leading them to discover shared passions and unexpected connections that shape their paths forward.",,2025-08-22,143,,Vipin,Radhika Sarathkumar,Tulasi,Rabiya Khatoon,India,Telugu,6.6,,1051,,,,,,,https://www.imdb.com/title/tt37140876/,New Movies
Mathru,Thriller,"Serial kidnappings plague a town, each marked by mysterious codes. When these codes appear on Vijay&apos;s phone, he becomes a suspect. After his girlfriend vanishes, he discovers a sinister cult brainwashing victims to serve an ancien...",,2026-02-06,124,,John Jakki,Aamani,Ravi Kale,Prudhviraj,India,Telugu,8.5,,1107,2,,,,,,https://www.imdb.com/title/tt37803534/,New Movies
Viyaah Kartaare Da,,"A cunning but lazy man fakes his corrupt father&apos;s death to take over his police position, but chaos ensues when his father suddenly awakens from a coma.",,2026-02-27,120,,Smeep Kang,Gurpreet Ghuggi,Hardip Gill,Gippy Grewal,India,Punjabi,8.5,,1037,5,,,"$125,584",,,https://www.imdb.com/title/tt39875252/,New Movies
Veera Dheera Sooran: Part 2,Action|Crime|Thriller,"Kaali, a provision store owner and a loving husband and father, whose involvement in a dangerous crime network and his mysterious mission forms the rest of the story.",martial arts action,2025-03-27,162,,S.U. Arun Kumar,Vikram,Suraj Venjaramoodu,Anjali P Nair,India,Tamil,6.9,,7952,66,5,2.8K,"$603,618",,,https://www.imdb.com/title/tt29606499/,New Movies
Emi,Drama|Family,"A diverse group of people navigate the harsh realities of debt, loans, and financial hardship in modern society, as their personal lives and relationships face mounting pressure from monetary struggles.",,2025-04-04,126,,Sadasivam Chinnaraj,Aadhavan,Mohan Babu,Sadasivam Chinnaraj,India,Tamil,4.5,,1204,9,,,,,,https://www.imdb.com/title/tt36153671/,New Movies
Love in Vietnam,Romance,". &quot;A passionate cross-cultural romance unfolds between Vietnam and Punjab, inspired by the classic Turkish novel &apos;Madonna in a Fur Coat.&quot;",,2025-09-12,122,,Rahhat Shah Kazmi,Avneet Kaur,Farida Jalal,Gulshan Grover,India,Hindi,8.7,,1312,63,7,,"$5,771",,,https://www.imdb.com/title/tt32447822/,New Movies
Turn Up the Sun!,Thriller,Two couples arrive at countryside mansion they unknowingly double booked. There are strange occurrences during their stay.,"psychological thriller,female nudity,narcissist,one word title,photos of another woman",2026-01-25,80,,Jamie Adams,James McAvoy,Kristin Zakala,Aisling Franciosi,United Kingdom,English,2.9,,1953,78,2,2.9K,,,,https://www.imdb.com/title/tt29713815/,New Movies
Nezha: Mo tong nao hai,Animation|Action|Adventure,"After a great catastrophe, the souls of Nezha and Aobing are saved, but their bodies face ruin. To give them new life, Taiyi Zhenren turns to the mystical seven-colored lotus in a daring bid to rebuild them and change their fate.","sequel,coco cartoon animated film,chinese folklore,chinese animation,chinese mythology",2025-01-29,144,PG-13,Yu Yang,Yanting Lü,Joseph,Mo Han,China,Mandarin|Chinese|English|Hindi|Spanish,7.9,68,23795,330,115,43.8K,"$2,260,176,370","$80,000,000 (estimated)","$7,687,776",https://www.imdb.com/title/tt34956443/,New Movies
